F1-Score,Statistical Parity,Another_Info,Method,Data_Name,weighted_avg
0.5868205868205869,0.1271980308105424,0.0,DisparactImpactRemover,Adult,1.5119474412511409
0.5867083283259223,0.1124937938364929,0.1,DisparactImpactRemover,Adult,1.5320045212825477
0.586573291475489,0.1065725893862366,0.2,DisparactImpactRemover,Adult,1.5400224447262656
0.5814548556110637,0.0855688342202611,0.3,DisparactImpactRemover,Adult,1.565426875728814
0.5785144260282381,0.0724114179422809,0.4,DisparactImpactRemover,Adult,1.5815150776768407
0.5774665192284063,0.0656626084767452,0.5,DisparactImpactRemover,Adult,1.5900684822624882
0.5768194070080863,0.0512153591183401,0.6000000000000001,DisparactImpactRemover,Adult,1.6094236397231245
0.5728717506467906,0.0382065411215149,0.7000000000000001,DisparactImpactRemover,Adult,1.6246491069062934
0.5682748356691057,0.0232058068711845,0.8,DisparactImpactRemover,Adult,1.642176585492348
0.5674903762572955,0.015007027824591,0.9,DisparactImpactRemover,Adult,1.652887488243231
0.5655635730281164,0.0082991265917498,1.0,DisparactImpactRemover,Adult,1.6608095901352815
0.594865671641791,0.1381619203398023,0.0,DisparactImpactRemover,Adult,1.5022035933638584
0.5938623831215536,0.1227866545716877,0.1,DisparactImpactRemover,Adult,1.5225960925160016
0.5929043896572459,0.1100845458073517,0.2,DisparactImpactRemover,Adult,1.5393586047358179
0.5895450145208132,0.095437538243228,0.3,DisparactImpactRemover,Adult,1.5572118751833544
0.5867439333574792,0.0830425657545433,0.4,DisparactImpactRemover,Adult,1.572347480811435
0.584964950447184,0.0733131611465468,0.5,DisparactImpactRemover,Adult,1.5845028739962355
0.5842066780404582,0.0568118778407129,0.6000000000000001,DisparactImpactRemover,Adult,1.6065973062865004
0.5825100622027076,0.0469641721963101,0.7000000000000001,DisparactImpactRemover,Adult,1.6189685721978588
0.5801863658656204,0.0365542762178905,0.8,DisparactImpactRemover,Adult,1.6316990270524112
0.5779036827195467,0.0267988305012511,0.9,DisparactImpactRemover,Adult,1.643560364951377
0.5777230769230769,0.0217336116607024,1.0,DisparactImpactRemover,Adult,1.6503765892847153
0.5838009270553793,0.1150909469599906,0.0,DisparactImpactRemover,Adult,1.5265458436190644
0.5822846670739157,0.1001639516596261,0.1,DisparactImpactRemover,Adult,1.54598887142945
0.5821114369501467,0.0943116661501798,0.2,DisparactImpactRemover,Adult,1.5538874425657634
0.5819611698205948,0.0815425088964776,0.3,DisparactImpactRemover,Adult,1.5712704585970747
0.5790766208251473,0.0713829402558817,0.4,DisparactImpactRemover,Adult,1.5832910909237143
0.577418168444281,0.0609704122182203,0.5,DisparactImpactRemover,Adult,1.5964605969825685
0.5727676369018254,0.0444966711943003,0.6000000000000001,DisparactImpactRemover,Adult,1.6159695722510228
0.571287981301513,0.0363048661572827,0.7000000000000001,DisparactImpactRemover,Adult,1.6262158737396186
0.5692002971032433,0.0219788268725912,0.8,DisparactImpactRemover,Adult,1.6444621375705466
0.566938876515714,0.0193727249500027,0.9,DisparactImpactRemover,Adult,1.646549717717829
0.5650935216152607,0.0116375767510863,1.0,DisparactImpactRemover,Adult,1.6559314663994438
0.5900928046281789,0.1191848972549354,0.0,DisparactImpactRemover,Adult,1.5250595632078496
0.5887184442565527,0.1058226154722468,0.1,DisparactImpactRemover,Adult,1.5424533322440157
0.5881641050465932,0.0990450093857227,0.2,DisparactImpactRemover,Adult,1.5513692341724934
0.5836858006042297,0.0842773882618898,0.3,DisparactImpactRemover,Adult,1.5686552123247706
0.5835769980506822,0.0729201303747117,0.4,DisparactImpactRemover,Adult,1.5841324353169244
0.5814122785731618,0.0629068652990242,0.5,DisparactImpactRemover,Adult,1.5964239513110465
0.5785619973592606,0.0492003613221688,0.6000000000000001,DisparactImpactRemover,Adult,1.613322879810441
0.5767554479418886,0.0404203985805539,0.7000000000000001,DisparactImpactRemover,Adult,1.624160413174647
0.5761645493042953,0.0319219778832424,0.8,DisparactImpactRemover,Adult,1.6354082335425288
0.5750605326876513,0.0286941724353149,0.9,DisparactImpactRemover,Adult,1.6391045456314124
0.5723954556441866,0.0205112270076466,1.0,DisparactImpactRemover,Adult,1.6485627783335541
0.5883631096088846,0.131168515444297,0.0,DisparactImpactRemover,Adult,1.5075214104869061
0.585243553008596,0.1274034688023115,0.1,DisparactImpactRemover,Adult,1.5106339133264404
0.585945945945946,0.119149608596295,0.2,DisparactImpactRemover,Adult,1.522393470832073
0.5837217640731445,0.1149799609638185,0.3,DisparactImpactRemover,Adult,1.5266459693179129
0.5809909480705098,0.1040081545332675,0.4,DisparactImpactRemover,Adult,1.539879209412776
0.5801039697542533,0.1040199626308441,0.5,DisparactImpactRemover,Adult,1.5392824555657718
0.5807742087304388,0.1071636949621099,0.6000000000000001,DisparactImpactRemover,Adult,1.5354173049657032
0.579188712522046,0.1000777945252102,0.7000000000000001,DisparactImpactRemover,Adult,1.544080308479183
0.5765870704717531,0.0943310712722877,0.8,DisparactImpactRemover,Adult,1.5502447992843003
0.5766440439971917,0.0873858261153442,0.9,DisparactImpactRemover,Adult,1.5597903504970825
0.5741214801023969,0.0815147705408803,1.0,DisparactImpactRemover,Adult,1.5661768182250304
0.6378378378378379,0.0978103697583143,0.0,DisparactImpactRemover,German,1.5855743622859566
0.6341463414634146,0.1026647386903532,0.1,DisparactImpactRemover,German,1.576512241422508
0.6415094339622641,0.0929560008262755,0.2,DisparactImpactRemover,German,1.5946234570697961
0.6436170212765958,0.0841768229704607,0.3,DisparactImpactRemover,German,1.6080219870643466
