eta = 0.01 : 0.14483212464737916 / 0.043008742634301655 (8.325793027877808s)
eta = 0.1 : 0.14483212464737916 / 0.043008742634301655 (8.25056505203247s)
eta = 1 : 0.14483212464737916 / 0.043008742634301655 (8.25769305229187s)
eta = 10 : 0.14483212464737916 / 0.043008742634301655 (8.26163935661316s)
best eta = 0.01 : 0.15203715491066805 / 0.08079486796739022

eta = 0.01 : 0.13922187068487946 / 0.005377031104566665 (8.289010524749756s)
eta = 0.1 : 0.13922187068487946 / 0.005377031104566665 (8.304097414016724s)
eta = 1 : 0.13922187068487946 / 0.005377031104566665 (8.284098386764526s)
eta = 10 : 0.13922187068487946 / 0.005377031104566665 (8.290935754776001s)
best eta = 0.01 : 0.19587813282092015 / 0.010001744897896403

eta = 0.01 : 0.1425516674128401 / 0.08000866816101193 (8.333323955535889s)
eta = 0.1 : 0.1425516674128401 / 0.08000866816101193 (8.314155340194702s)
eta = 1 : 0.1425516674128401 / 0.08000866816101193 (8.29269528388977s)
eta = 10 : 0.1425516674128401 / 0.08000866816101193 (8.263262748718262s)
best eta = 0.01 : 0.1581032183642198 / 0.05185110212917421

eta = 0.01 : 0.14287428718338313 / 0.031737695428491586 (8.249528169631958s)
eta = 0.1 : 0.14287428718338313 / 0.031737695428491586 (8.247477531433105s)
eta = 1 : 0.14287428718338313 / 0.031737695428491586 (8.25147557258606s)
eta = 10 : 0.14287428718338313 / 0.031737695428491586 (8.247999906539917s)
best eta = 0.01 : 0.16698699780395598 / 0.022781648918464237

eta = 0.01 : 0.14478677235500892 / 0.07413959789985247 (8.299359798431396s)
eta = 0.1 : 0.14478677235500892 / 0.07413959789985247 (8.26935338973999s)
eta = 1 : 0.14478677235500892 / 0.07413959789985247 (8.276898384094238s)
eta = 10 : 0.14478677235500892 / 0.07413959789985247 (8.311618566513062s)
best eta = 0.01 : 0.1631482229640413 / 0.07698931601810921

eps = 0.1 : 0.16723074537276106 / 0.04848373598620685 (8.299403095245362s)
