eta = 0.01 : 0.32170215766706123 / 0.10124050483201846 (27.779632806777954s)
eta = 0.1 : 0.32184088888936935 / 0.10001011778676527 (27.694971561431885s)
eta = 1 : 0.322108350817467 / 0.1000451758247595 (27.641971826553345s)
eta = 10 : 0.32217299408534594 / 0.09707956664918127 (27.608904123306274s)
best eta = 0.01 : 0.326079440080996 / 0.08027426509967633

eta = 0.01 : 0.32332711921592194 / 0.09082467456576082 (27.635762929916382s)
eta = 0.1 : 0.32332711921592194 / 0.09082467456576082 (27.584553956985474s)
eta = 1 : 0.32332711921768886 / 0.09082467456642102 (27.535651206970215s)
eta = 10 : 0.3233271192187819 / 0.09082467456486931 (27.53096580505371s)
best eta = 0.01 : 0.32706919213607655 / 0.08851669930594802

eta = 0.01 : 0.3238389035203254 / 0.09247957192341011 (27.727471828460693s)
eta = 0.1 : 0.3238389035203254 / 0.09247957192341011 (27.666118144989014s)
eta = 1 : 0.3238389035203254 / 0.09247957192341011 (27.593955993652344s)
eta = 10 : 0.3238389035203254 / 0.09247957192341011 (27.601011276245117s)
best eta = 0.01 : 0.32010568092348135 / 0.09515170636574705

eta = 0.01 : 0.31990633489740883 / 0.0848341008944935 (27.77659320831299s)
eta = 0.1 : 0.31990633489740883 / 0.0848341008944935 (27.677134037017822s)
eta = 1 : 0.31990633489740883 / 0.0848341008944935 (27.6369788646698s)
eta = 10 : 0.31990633489740883 / 0.0848341008944935 (27.640177249908447s)
best eta = 0.01 : 0.32540683647774904 / 0.0690379791917568

eta = 0.01 : 0.329019560320961 / 0.10177873249564029 (27.745713233947754s)
eta = 0.1 : 0.3290846807247316 / 0.10226013251034183 (27.649054765701294s)
eta = 1 : 0.3358682680029901 / 0.10072321129246811 (27.60045027732849s)
eta = 10 : 0.3417387265242722 / 0.09855351999435935 (27.601714372634888s)
best eta = 0.01 : 0.31048345909192476 / 0.10483807061713407

eps = 0.1 : 0.3218289217420455 / 0.08756374411605247 (27.733034801483157s)
