eta = 0.01 / 0.30889558782179627 / 0.13162845183780061 /174.52523350715637s
eta = 0.1 / 0.30846205347265654 / 0.1310648249683124 /174.64266514778137s
eta = 1 / 0.3106162476465596 / 0.13196988302969825 /174.3547327518463s
eta = 10 / 0.3646482994022393 / 0.09977424653398687 /173.71286177635193s
best eta = 10 / 0.3619341154310671 / 0.10048155714402501

eta = 0.01 / 0.30865226175911575 / 0.13085236429749653 /175.62937688827515s
eta = 0.1 / 0.3089175784856977 / 0.13047981416060198 /174.57513689994812s
eta = 1 / 0.4974249468496972 / 0.05750137853345 /174.0615794658661s
eta = 10 / 0.36240432741979356 / 0.0990086501465077 /173.78469967842102s
best eta = 10 / 0.35667276127185465 / 0.10413927017065389

eta = 0.01 / 0.30857325957977155 / 0.13135734360798412 /174.79759740829468s
eta = 0.1 / 0.30942973112864003 / 0.13079821549827247 /174.54081916809082s
eta = 1 / 0.4079304323629963 / 0.11810038190853367 /174.21322059631348s
eta = 10 / 0.4673447820037885 / 0.0902638576088853 /173.50876259803772s
best eta = 10 / 0.46351922019110836 / 0.09151522447768501

eta = 0.01 / 0.31051225255280235 / 0.13007610649550425 /174.4376358985901s
eta = 0.1 / 0.30981899339025964 / 0.12955208028418697 /174.28904128074646s
eta = 1 / 0.311352352159876 / 0.13166000425534513 /174.27648448944092s
eta = 10 / 0.4278027385309262 / 0.10016731606608575 /175.67658019065857s
best eta = 10 / 0.42145012267109205 / 0.09699401950202313

eta = 0.01 / 0.3082073843134526 / 0.13129031646407346 /174.90715384483337s
eta = 0.1 / 0.3077019868160116 / 0.1311798170225933 /175.28048872947693s
eta = 1 / 0.3120930317510129 / 0.13555973437781949 /174.53461813926697s
eta = 10 / 0.4801703538575828 / 0.07165801466407198 /173.5185511112213s
best eta = 10 / 0.4771996468688601 / 0.07158379378599955

eps = 0.1 / 0.4161551732867965 / 0.09294277301607733 /174.0402910709381s
